#progeny
#Accession
cv12-7b-62-9624	CV12-7B-62-9624
cv12-8b-11-9620	CV12-8B-11-9620
cv12-8b-11-9620	CV12-8B-11-9620
cv12-8b-53-9620	CV12-8B-53-9620
cv12-8b-53-9620	CV12-8B-53-9620
cv12-8b-58-9620	CV12-8B-58-9620
cv12-8b-58-9620	CV12-8B-58-9620
cv12-9b-3-9620	CV12-9B-3-9620
cv12-9b-3-9620	CV12-9B-3-9620
cv12-9b-41-9620	CV12-9B-41-9620
cv12-9b-41-9620	CV12-9B-41-9620
cv12-9b-55-9620	CV12-9B-55-9620
cv12-9b-55-9620	CV12-9B-55-9620
cv12-9b-61-9620	CV12-9B-61-9620
cv12-9b-61-9620	CV12-9B-61-9620
cv16-1-7-14-9735	CV16-1-7-14-9735
cv16-1-7-14-9735	CV16-1-7-14-9735
cv16-1-7-14-9735	CV16-1-7-14-9735
cv16-1-7-6-9734	CV16-1-7-6-9734
cv16-1-7-6-9734	CV16-1-7-6-9734
cv16-2-7-10-9702	CV16-2-7-10-9702
cv16-2-7-10-9702	CV16-2-7-10-9702
cv16-2-7-10-9703	CV16-2-7-10-9703
cv16-2-7-10-9703	CV16-2-7-10-9703
cv16-2-7-11-9734	CV16-2-7-11-9734
cv16-2-7-11-9734	CV16-2-7-11-9734
cv16-2-7-4-9735	CV16-2-7-4-9735
cv16-2-7-7-9702	CV16-2-7-7-9702
cv16-2-7-7-9734	CV16-2-7-7-9734
cv16-2-7-7-9734	CV16-2-7-7-9734
cv16-2-7-9-9735	CV16-2-7-9-9735
cv16-2-7-9-9735	CV16-2-7-9-9735
cv16-3-7-2-9737	CV16-3-7-2-9737
cv16-3-7-2-9737	CV16-3-7-2-9737
cv16-3-7-4-9528	CV16-3-7-4-9528
cv16-3-7-4-9528	CV16-3-7-4-9528
cv16-4-7-2-9737	CV16-4-7-2-9737
cv16-4-7-3-9734	CV16-4-7-3-9734
cv16-4-7-3-9734	CV16-4-7-3-9734
cv16-4-7-5-9702	CV16-4-7-5-9702
cv16-4-7-5-9702	CV16-4-7-5-9702
cv16-4-7-5-9735	CV16-4-7-5-9735
cv16-4-7-5-9735	CV16-4-7-5-9735
cv16-4-7-6-9734	CV16-4-7-6-9734
cv16-4-7-6-9734	CV16-4-7-6-9734
cv16-4-7-6-9737	CV16-4-7-6-9737
cv16-4-7-6-9737	CV16-4-7-6-9737
cv16-4-7-7-9737	CV16-4-7-7-9737
cv16-4-7-7-9737	CV16-4-7-7-9737
cv16-4-7-8-9703	CV16-4-7-8-9703
cv16-4-7-8-9703	CV16-4-7-8-9703
cv16-4-7-9-9734	CV16-4-7-9-9734
cv16-4-7-9-9734	CV16-4-7-9-9734
delblush	Delblush
delblush	Delblush
delblush	Delblush
delkid	Delkid
delkid	Delkid
delorgue	Delorgue
delorina	Delorina
delorina	Delorina
delrose	Delrose
empire	Empire
empire	Empire
empire	Empire
empire	Empire
flemingp-132-9427	FlemingP-132-9427
flemingp-132-9427	FlemingP-132-9427
fortune	Fortune
fuji	Fuji
fuji	Fuji
gala	Gala
gala	Gala
gala	Gala
gala	Gala
gala	Gala
gala	Gala
gala	Gala
gala	Gala
galasupreme	GalaSupreme
galasupreme	GalaSupreme
galasupreme	GalaSupreme
gingergold	GingerGold
goldendel	WSU133
goldendel	WSU133
hampshire	Hampshire
hatsuaki	Hatsuaki
hatsuaki	Hatsuaki
hatsuaki	Hatsuaki
hatsuaki	Hatsuaki
honeycrisp	WSU115
honeycrisp	WSU115
jonagold	Jonagold
jonagold	Jonagold
nj109	NJ109
nj109	NJ109
nj90	NJ90
nj90	NJ90
nj90	NJ90
nj90	NJ90
ny632	NY632
ny75414-1	NY75414-1
orin	Orin
pinova	Pinova
reddelicious	RedDelicious
reddelicious	RedDelicious
runkel	Runkel
sciearly	Sciearly
sciearly	Sciearly
sciearly	Sciearly
sciearly	Sciearly
sciearly	Sciearly
sciearly	Sciearly
sciearly	Sciearly
scifresh	Scifresh
scifresh	Scifresh
scifresh	Scifresh
scifresh	Scifresh
scifresh	Scifresh
scifresh	Scifresh
sciros	Sciros
sciros	Sciros
senshu	Senshu
senshu	Senshu
shinsekai	Shinsekai
shinsekai	Shinsekai
shinsekai	Shinsekai
shizuka	Shizuka
silken	Silken
silken	Silken
spa283	SPA283
spa283	SPA283
spa343	SPA343
spa343	SPA343
spa365	SPA365
spa365	SPA365
spa440	SPA440
spa440	SPA440
spa493	SPA493
spa505	SPA505
splendour	Splendour
splendour	Splendour
splendour	Splendour
suncrisp	Suncrisp
t18-5-29-9515	T18-5-29-9515
t18-5-29-9515	T18-5-29-9515
t18-5-29-9515	T18-5-29-9515
t18-5-29-9515	T18-5-29-9515
t18-or-20-9427	T18-OR-20-9427
t18-or-20-9427	T18-OR-20-9427
t18-or-25-9427	T18-OR-25-9427
t18-or-25-9427	T18-OR-25-9427
t18-or-40-9427	T18-OR-40-9427
